CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Revolving_Bal
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,9366.0,1104
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,21617.0,0
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,13860.0,1652
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,18386.0,0
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,2405.0,1540
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,2154.0,930
713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,2038.0,0
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,8135.0,0
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,9364.0,618
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,32643.0,0
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,3195.0,1954
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,2852.0,1024
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,36,4224.0,1305
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,20459.0,2071
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,3482.0,2114
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,3065.0,1570
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,2185.0,1761
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,1611.0,746
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,2822.0,2173
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,32975.0,2517
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,1438.3,0
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,15875.0,1719
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,6703.0,893
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,3212.0,0
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,34516.0,1260
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,9797.0,1434
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,10400.0,1777
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,26792.0,1836
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,3006.0,2517
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,19482.0,1072
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,3356.0,985
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,5771.0,2248
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,11106.0,2107
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,2890.0,2001
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,3380.0,1701
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,21331.0,1251
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,12860.0,0
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,6278.0,462
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55,1438.3,738
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,9355.0,1626
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31,20758.0,0
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,14612.0,1976
717912483,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27,27259.0,0
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,6347.0,1594
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,21592.0,1676
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,3449.0,1598
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,6028.0,799
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,36,18214.0,1998
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,16393.0,1423
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,1438.3,900
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,36,7871.0,1687
720707283,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,5288.0,866
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32,11376.0,2006
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41,12302.0,1632
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33,34516.0,1679
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32,34516.0,1468
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,10514.0,1580
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43,1438.3,0
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,1438.3,0
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,2619.0,1779
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,53,24407.0,2395
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,2377.0,1649
710565408,Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,40,34516.0,1359
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,11086.0,2207
709752183,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,36,11432.0,2517
716479233,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,36,13258.0,1721
713837058,Existing Customer,48,M,2,College,Single,Less than $40K,Blue,36,2571.0,1955
718876683,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,31,5781.0,1168
770746908,Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,30,7872.0,2509
794843883,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,35,34516.0,1202
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,11127.0,1835
758076408,Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,43,1857.0,1603
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,36,1913.0,1272
778425408,Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,24,3839.0,2295
714171108,Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,2115.0,1141
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,1438.3,679
713137233,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,28,27756.0,1789
769425858,Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,32,1438.3,0
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,13878.0,2222
788900883,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36,3106.0,1304
758348808,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,44,34516.0,1666
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,1438.3,1025
708711483,Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue,46,18871.0,1740
717906783,Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29,5207.0,1748
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,17965.0,1644
769433508,Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,37,2733.0,1819
790096533,Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,48,8863.0,1301
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,1857.0,1833
787541883,Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,33,34516.0,0
709930758,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,11107.0,1222
789830058,Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,34,21573.0,1585
710299608,Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,33,2859.0,2517
710741208,Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,36,5269.0,1475
821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,45,1438.3,0
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36,3387.0,0
715341858,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,46,1982.0,1289
793636308,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,4645.0,1650
713779908,Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,36,2189.0,1666
712125258,Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30,2442.0,0
709703433,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,38,21304.0,1532
721022433,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,7577.0,2480
710103558,Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31,3234.0,1486
715952883,Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,36,4469.0,1125
719731458,Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue,46,2910.0,709
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,3616.0,1054
787348608,Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,56,3252.0,1495
709485033,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,36,2358.0,1152
715432608,Existing Customer,43,M,4,Unknown,Single,$60K - $80K,Blue,36,22322.0,953
799471833,Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39,3133.0,1510
714187533,Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,3540.0,849
779656908,Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,23,6990.0,1378
788950158,Existing Customer,36,M,2,College,Unknown,$80K - $120K,Blue,22,34516.0,1652
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1438.3,0
710620383,Existing Customer,43,M,4,Unknown,Married,$60K - $80K,Blue,35,24396.0,1171
778661358,Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue,36,2474.0,2143
789483333,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,32,5214.0,795
809855808,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,46,5207.0,1650
718464258,Existing Customer,51,F,3,Unknown,Unknown,Less than $40K,Blue,25,9512.0,1082
708528483,Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,23,3187.0,2430
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,3353.0,0
719942883,Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,38,2290.0,1434
807226683,Existing Customer,48,M,3,Unknown,Single,$40K - $60K,Blue,43,5279.0,1115
717806133,Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,29,23603.0,0
720615708,Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue,45,2601.0,0
714511758,Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue,40,6363.0,1029
715050408,Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,36,8029.0,1576
721132233,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,31,2410.0,1769
719211558,Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,36,3401.0,0
712069008,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,23,2260.0,1007
715996983,Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30,17682.0,2481
773466258,Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,42,4206.0,1100
798983508,Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver,37,34516.0,1440
719117433,Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue,36,23018.0,2168
716451183,Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue,44,5556.0,1711
718621608,Attrited Customer,54,F,2,High School,Married,Unknown,Blue,44,6094.0,0
715085733,Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue,52,2939.0,1999
788977833,Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue,48,5362.0,1274
720272958,Attrited Customer,48,M,2,High School,Married,$120K +,Blue,36,27126.0,0
708421833,Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,3342.0,2517
709173108,Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue,40,2532.0,2221
709879458,Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue,46,1900.0,1376
715120608,Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue,37,14546.0,1703
770632758,Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue,36,2521.0,1608
779078733,Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,36,16427.0,1682
771742533,Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K,Blue,36,13068.0,1718
720250158,Existing Customer,45,M,2,College,Single,$60K - $80K,Blue,33,23218.0,1814
716458983,Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue,36,3281.0,837
713747733,Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue,47,3096.0,2217
712270158,Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue,52,2052.0,1250
789562383,Existing Customer,38,F,1,High School,Unknown,Less than $40K,Blue,30,1438.3,583
754897008,Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue,39,9432.0,1418
